Features,Foreign Remix (feat. Justin Bieber),"34,545,512","34,545,512","34,549,250"
Features,Deja Vu,"341,273,798","341,273,798","341,346,367"
Features,Let Me Love You,"1,539,114,050","1,539,114,050","1,539,610,672"
Features,Juke Jam (feat. Justin Bieber & Towkio),"266,356,084","266,356,084","266,400,755"
Features,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","1,104,185,589","1,104,185,589","1,104,364,883"
Features,2U (feat. Justin Bieber),"720,911,772","720,911,772","721,034,372"
Features,Hard 2 Face Reality,"99,228,444","99,228,444","99,417,114"
Features,Let Me Love You (feat. Justin Bieber) - Don Diablo Remix,"33,633,925","33,633,925","33,640,504"
Features,Don't Check On Me (feat. Justin Bieber & Ink),"152,265,813","152,265,813","152,296,349"
Features,Despacito - Remix,"1,519,802,005","1,519,802,005","1,520,021,441"
Features,Love Thru the Computer (feat. Justin Bieber),"18,685,157","18,685,157","18,687,088"
Features,Falling For You with Justin Bieber,"34,960,458","34,960,458","34,986,966"
Features,LET IT GO (feat. Justin Bieber & 21 Savage),"67,638,710","67,638,710","67,726,612"
Features,What You See (feat. Justin Bieber),"14,732,973","14,732,973","14,746,602"
Features,Wandered To LA (with Justin Bieber),"72,625,932","72,625,932","72,879,353"
Features,SUNDOWN (feat. Justin Bieber),"2,062,284","2,062,284","2,091,298"
Features,Despacito - Remix,"12,135,019","12,135,019","12,146,041"
Features,Cold Water,"1,263,701,572","1,263,701,572","1,263,950,835"
Features,Let Me Love You - Ti??sto's AFTR:HRS Mix,"51,213,241","51,213,241","51,228,324"
Features,Let Me Love You - Marshmello Remix,"40,916,064","40,916,064","40,929,393"
Features,Lolly - Single Version,"106,236,406","106,236,406","106,298,165"
Features,bad guy,"36,477,108","2,007,214,403","2,007,834,491"
Features,Let Me Love You - Andrew Watt Acoustic Remix,"3,333,009","36,477,108","36,486,965"
Features,Next To You (feat. Justin Bieber) - Radio Edit,"7,479,603","3,333,009","3,337,701"
Features,Where Are ?? Now (with Justin Bieber) - Ember Island Remix,"5,114,950","7,479,603","7,480,472"
Features,Where Are ?? Now (with Justin Bieber) - Kaskade Remix,"42,625,846","5,114,950","5,115,837"
Features,Where Are ?? Now (with Justin Bieber) - Marshmello Remix,"6,343,962","42,625,846","42,631,215"
Features,Where Are ?? Now (with Justin Bieber) - Rustie Remix,"12,845,180","6,343,962","6,344,652"
Features,Cold Water (feat. Justin Bieber & M??) [Afrojack Remix],"3,115,319","12,845,180","12,846,697"
Features,Cold Water (feat. Justin Bieber & M??) [Boombox Cartel Remix],"2,265,495","3,115,319","3,115,793"
Features,Cold Water (feat. Justin Bieber & M??) [Delirious & Alex K Remix],"1,736,419","2,265,495","2,265,868"
Features,Cold Water (feat. Justin Bieber & M??) [King Henry & Jr Blender Remix],"25,457,005","1,736,419","1,736,547"
Features,Cold Water (feat. Justin Bieber & M??) [Lost Frequencies Remix],"1,978,926","25,457,005","25,468,934"
Features,Cold Water (feat. Justin Bieber & M??) [Ocular Remix],"10,829,837","1,978,926","1,979,131"
Features,Let Me Love You - Sean Paul Remix,"13,192,724","10,829,837","10,834,608"
Features,Cold Water (feat. Justin Bieber & M??) [Don Omar Remix],"5,941,238","13,192,724","13,198,237"
Features,Where Are ?? Now LIVE (with Justin Bieber),"6,699,025","5,941,238","5,941,906"
Features,2U (feat. Justin Bieber) - Seeb Remix,"5,638,166","6,699,025","6,703,227"
Features,2U (feat. Justin Bieber) - R3HAB Remix,"4,387,880","5,638,166","5,640,882"
Features,2U (feat. Justin Bieber) - Symphonic,"5,116,510","4,387,880","4,388,707"
Features,2U (feat. Justin Bieber) - FRNDS Remix,"2,687,652","5,116,510","5,117,317"
Features,2U (feat. Justin Bieber) - Tujamo Remix,"3,260,796","2,687,652","2,688,154"
Features,2U (feat. Justin Bieber) - Robin Schulz Remix,"2,208,333","3,260,796","3,261,053"
Features,2U (feat. Justin Bieber) - GLOWINTHEDARK Remix,"1,057,978","2,208,333","2,208,539"
Features,2U (feat. Justin Bieber) - DJ Sub Remix,"8,727,432","1,057,978","1,058,113"
Features,Lean on Me - ArtistsCAN,"563,763,293","8,727,432","8,730,530"
ALBUM,MY WORLD,"1,391,962,779","563,763,293","564,313,491"
ALBUM,MY WORLD 2.0,"248,836,472","1,391,962,779","1,393,052,607"
ALBUM,NEVER SAY NEVER REMIXES,"1,045,399,802","248,836,472","248,982,425"
ALBUM,UNDER THE MISTLETOE,"1,572,884,304","1,045,399,802","1,045,458,837"
ALBUM,BELIEVE,"507,696,802","1,572,884,304","1,573,594,991"
ALBUM,BELIEVE ACOUSTIC,"903,221,423","507,696,802","507,780,917"
ALBUM,JOURNALS,"8,131,029,721","903,221,423","903,609,140"
ALBUM,PURPOSE,"2,492,073,915","8,131,029,721","8,132,958,331"
ALBUM,CHANGES,"4,547,389,515","2,492,073,915","2,493,057,563"
ALBUM,JUSTICE,"83,672,431","4,547,389,515","4,553,714,909"
TOTAL,CAREER STREAMS,"37,334,380,444","83,672,431","83,693,727"
TOTAL,CAREER STREAMS,,"39,341,594,847","39,363,176,807"
TOTAL,CAREER STREAMS,,,
TOTAL,CAREER STREAMS,,,
